text,category,keywords,campaign_id,action,target_gender,target_age_range,target_city,target_state,target_country,target_income_bucket,target_device,cpc,cpa,budget,date_range,time_range
Aquarium Decorations - New PVC Japanese ONE Piece Cartoon Boat Aquarium Decoration Fish Tank Ship Ornament Merry Sunny Marine Ship Figure Aquatic Decor,Home & Kitchen,"pets,fish",7ee5bbfa-8f95-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00109,0.0559,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '12:00:00'}"
"Driew Travel Perfume Bottle, Refillable Perfume Atomizer 8ml",Home & Kitchen,"luggage,travel,accessories",88160c4a-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '40'}",All,All,India,All,All,0.00023,0.0332,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '12:00:00'}"
Champion Unisex The Attribute Mini Crossover Backpack,Sports & Fitness,"outdoor,sports,camping,hiking,ping,hiking,bags",98e0c2ae-8f98-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '20', 'end': '40'}",Kolkata,West Bengal,India,M,All,0.00118,0.0193,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '9:00:00'}"
3 Mouse Trap Replacement Metal Steel Balls/Milton Bradley,Tools & Hardware,"industrial,scientific,power,transmission,products",d7f8cf62-8f94-11f0-b7f6-0e087721c0e9,Stop Campaign,F,"{'start': '0', 'end': '0'}",All,All,India,All,Android Mobile,0.00117,0.0377,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '11:00:00'}"
"Traxxas 7758 X-Maxx Serrated, Blue-Anodized Wheel Nuts (set of 4)",Tools & Hardware,"industrial,scientific,fasteners",6a5bd540-8f93-11f0-b7f6-0e087721c0e9,Update Campaign,All,"{'start': '0', 'end': '0'}",Mumbai,Maharashtra,India,All,All,0.00055,0.0144,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '13:00:00'}"
"Dritz 7-65 Overall Buckles with No-Sew Buttons for 1-Inch, Nickle 2-Count",Arts & Crafts,"arts,crafts,sewing",c68de7c2-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00114,0.0396,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
Satco 77606  Swivel Socket SF77-606 Base Extender,Tools & Hardware,"industrial,scientific,industrial,electrical",a678a988-8f96-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,M,Windows Computer,0.00149,0.0103,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '11:00:00'}"
"Traxxas 7758 X-Maxx Serrated, Blue-Anodized Wheel Nuts (set of 4)",Tools & Hardware,"industrial,scientific,fasteners",6a5bd540-8f93-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",Mumbai,Maharashtra,India,All,All,0.00055,0.0144,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '13:00:00'}"
Colorado Saddlery Trinity Cross Kids Spur Straps,Sports & Fitness,"team,sports,sports,equestrian,sports",f752f550-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,M,All,0.00119,0.0340,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '20:00:00'}"
"Shine Armor Leather Cleaner and Conditioner - Amazing on Apparel, Furniture, Auto Interiors, Shoes, Bags, Purses, Sofas, Couches, Vinyl Seats - UV Protection",Tools & Hardware,"automotive,care,care",062e9c14-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00104,0.0483,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '15:00:00'}"
Robart Pinchless Medium Port Walking Horse Bit,Sports & Fitness,"team,sports,sports,equestrian,sports",13778548-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '25', 'end': '35'}",All,All,India,All,All,0.00023,0.0390,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
"Driew Travel Perfume Bottle, Refillable Perfume Atomizer 8ml",Home & Kitchen,"luggage,travel,accessories",88160c4a-8f98-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '20', 'end': '40'}",All,All,India,All,All,0.00023,0.0332,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '12:00:00'}"
Tactical USA Flag Patch - Subdued Red White Blue by Gadsden and Culpeper,Arts & Crafts,"arts,crafts,sewing",307199c2-8f99-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '20', 'end': '30'}",All,All,India,All,All,0.00014,0.0145,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '17:00:00'}"
"Schutt Sports VRJOP DW Carbon Steel Vengeance Varsity Football Faceguard, Navy",Sports & Fitness,"team,sports,sports,football",3daa40ee-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,Windows Computer,0.00012,0.0373,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '13:00:00'}"
"Chartpak Graphic Art Tape, 1/8 W x 324 L Inches, Gold Mylar Metallic, 1 Roll (BG12509)",Arts & Crafts,"arts,crafts,crafting",4c5927e0-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '35', 'end': '50'}",All,All,India,L,All,0.00112,0.0589,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '22:00:00'}"
Baiwu Women's Ballet Long Performance Tutu Skirt,Sports & Fitness,"fitness,other,sports,boxing,dancing,martial,fencing,iceskating",364c3388-8f95-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",Delhi,Delhi,India,All,All,0.00117,0.0153,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '12:00:00'}"
Baltic Amber Teething Necklace for Babies Anti Flammatory Drooling Teething Pain Reduce Properties with Natural Certificated Highest Quality Baby Real Amber Jewelry(multi color),Clothing & Accessories,"baby,toys",67c6ddc4-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00094,0.0464,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '16:00:00'}"
Vertx VTX8001,Sports & Fitness,"sports,hunting,fishing,hunting",77078df6-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00091,0.0335,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '14:00:00'}"
"Meifigno Natural Series iPhone 11 Pro Max Case [Certified Military Protection], Transparent Hard PC with Soft TPU Edges, Protective Clear Case Compatible for iPhone 11 Pro Max 6.5 Inch (2019), Clear",Electronics,"electronics,cell,phones",010ec0c6-8f92-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",Jaipur,Rajasthan,India,All,Android Mobile,0.00040,0.0464,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '12:00:00'}"
Two Way Easy Trans Smart Language Translator Device Electronic Pocket Voice Bluetooth 52 Languages for Meeting Learning Travel Shopping Business Fit for Apple iPhone Android White (WIFI/3G/4G/5G),Electronics,"electronics,office",95efabea-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00111,0.0212,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '10:00:00'}"
"Carson-Dellosa FS-704181 Singapore Math Bundle, Grade 6, Set of 5, Grade: 12 to 6 (Pack of 5)",Tools & Hardware,"industrial,scientific,science,education",a27e4998-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,Android Mobile,0.00019,0.0423,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '21:00:00'}"
ASICS Men's Gel-Lique Fashion Sneaker,Sports & Fitness,"sports,exercise,running",b262903a-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '25', 'end': '35'}",All,All,India,All,All,0.00139,0.0321,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '13:00:00'}"
"Bullnose Rudder Clamp On Rudder for 24-55 Thrust Trolling Motors: Pontoons, Kayaks, or Canoes",Sports & Fitness,"s,p,o,r,t,s,,,h,u,n,t,i,n,g,,,f,i,s,h,i,n,g,,,f,i,s,h,i,n,g",c3ab76e0-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '50', 'end': '60'}",Delhi,Delhi,India,All,All,0.00066,0.0518,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '21:00:00'}"
Lemorecn Adult’s 3mm Wetsuits Jacket Long Sleeve Neoprene Wetsuits Top,Sports & Fitness,"outdoor,sports,water,sports,ater,sports,diving",57c61c66-8f92-11f0-b7f6-0e087721c0e9,Update Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,M,All,0.00015,0.0163,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '13:00:00'}"
HP 9250C Digital Sender,Computer,"computers,scanners",e0926606-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",Delhi,Delhi,India,All,All,0.00025,0.0275,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
Heat Transfer Tape for Sublimation Print Machine T-Shirts/Mug/Plate/Cap/Cup Easy Remove High Temperature Tape for Heat Press,Tools & Hardware,"industrial,scientific,lubricants",e488992a-8f93-11f0-b7f6-0e087721c0e9,Stop Campaign,F,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00015,0.0415,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '0:00:00'}"
Monoprice Stable Series Tilt TV Wall Mount Bracket - for TVs 32in to 55in Max Weight 88lbs VESA Patterns Up to 410x402 Works with Concrete & Brick UL Certified,Tools & Hardware,"industrial,scientific,digital,signage",fef3b276-8f99-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '30'}",All,All,India,All,All,0.00130,0.0234,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '10:00:00'}"
The North Face Men's Chilkat II Insulated Boot,Sports & Fitness,"outdoor,sports,camping,hiking,ping,hiking,footwear",0e02d2d8-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00018,0.0080,300,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '15:00:00'}"
Robart Pinchless Medium Port Walking Horse Bit,Sports & Fitness,"team,sports,sports,equestrian,sports",13778548-8f99-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '25', 'end': '35'}",All,All,India,All,All,0.00023,0.0390,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
"green sprouts Muslin Swaddle Blankets made from Organic Cotton | Generously sized for easy swaddling | Super soft & softer with every wash, Gray Set",Clothing & Accessories,"baby,nursery",a76b7ff4-8f97-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '20', 'end': '40'}",All,All,India,All,All,0.00024,0.0259,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '12:00:00'}"
"SYMPL Premium Surf Leash [Army, 5-9 ft] Light Surfboard Leash • Surf Boards, Longboard, SUP Paddle Board • Quick Release Velcro Pull Tab • Neoprene Ankle Cuff • Key Pocket • Strong Cord",Sports & Fitness,"outdoor,sports,water,sports,ater,sports,surfing",3a1a91c6-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '0', 'end': '0'}",Ludhiana,Punjab,India,All,All,0.00044,0.0505,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '16:00:00'}"
RBX Active Women's Workout Legging with Mesh,Sports & Fitness,"sports,exercise,yoga",0ab13458-8f95-11f0-b7f6-0e087721c0e9,Stop Campaign,F,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00028,0.0566,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '19:00:00'}"
"Cellophane Wrap 40""Inch x 100'Ft Purple Mylar Sheet Cellophane Roll Great Wrapping Paper for Craft Basket",Arts & Crafts,"arts,crafts,gift,wrapping",5c80cd2a-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '45'}",Hyderabad,Telangana,India,All,All,0.00086,0.0435,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '15:00:00'}"
Rawlings Heart of the Hide Travel Kit (Tan),Home & Kitchen,"luggage,travel,accessories",6c5c854a-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00082,0.0556,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
Yosso Bike Headset Spacer Aluminum Alloy Stem Spacers Fork Washer 4Pcs/Set 5mm/10mm/15mm/20mm,Sports & Fitness,"outdoor,recreation,reation,cycling",7ab18b2c-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '50', 'end': '60'}",All,All,India,All,All,0.00013,0.0377,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
Electric Cream Separator All Metal Parts 26Gal/H 100L/H 120V USA,Home & Kitchen,"home,kitchen,heating,cooling",8c6437ca-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '0', 'end': '0'}",Delhi,Delhi,India,All,All,0.00076,0.0044,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
Gymnastics Leotards Apparel for Girls Teens Kids Toddler Girls Ballet Dance Clothes Unitards Biketards with Shorts,Sports & Fitness,"fitness,other,sports,boxing,dancing,martial,fencing,iceskating",9c175b70-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '20', 'end': '30'}",All,All,India,All,All,0.00056,0.0063,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '10:00:00'}"
Nursery Decor - Safari Elephant Bedroom Wall Art Decor for Nursery | Decorative & Easy to Frame Printed Pictures 8x10-inch | 3 - (UNFRAMED) Prints | Sweet Elephant Baby Girl Nursery or Girl's Bedroom,Clothing & Accessories,"baby,nursery",a934c59a-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '45'}",Mumbai,Maharashtra,India,All,Windows Computer,0.00118,0.0032,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '14:00:00'}"
"Dritz 7-65 Overall Buckles with No-Sew Buttons for 1-Inch, Nickle 2-Count",Arts & Crafts,"arts,crafts,sewing",c68de7c2-8f98-11f0-b7f6-0e087721c0e9,Update Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00086,0.0154,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
Electric Cream Separator All Metal Parts 26Gal/H 100L/H 120V USA,Home & Kitchen,"home,kitchen,heating,cooling",8c6437ca-8f9a-11f0-b7f6-0e087721c0e9,Update Campaign,F,"{'start': '0', 'end': '0'}",Delhi,Delhi,India,All,All,0.00064,0.0598,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
"Chemco, 20ROLLGPF, 300'x20""x1-5/8"" GPF Ultra Fiberglass Paint Arrestor Media Roll, 1 Roll",Tools & Hardware,"automotive,oils,fluids",1fad8a08-8f97-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00025,0.0561,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '16:00:00'}"
Diesel Dieselxx Xxtote,Home & Kitchen,"luggage,messenger,bags",e6ec61b8-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00086,0.0388,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '17:00:00'}"
"Sylvania SKCR2713 Under Counter CD Player with Radio and Bluetooth, Silver",Electronics,"electronics,portable,audio,video",f6e31bb6-8f9a-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",Kolkata,West Bengal,India,All,All,0.00138,0.0073,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '21:00:00'}"
The North Face Men's Chilkat II Insulated Boot,Sports & Fitness,"outdoor,sports,camping,hiking,ping,hiking,footwear",0e02d2d8-8f9a-11f0-b7f6-0e087721c0e9,Update Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00022,0.0273,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '15:00:00'}"
New Balance Men's M1500v3 Running Shoe,Sports & Fitness,"sports,running,footwear",14743cbe-8f9b-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '25', 'end': '35'}",All,All,India,All,Windows Computer,0.00099,0.0033,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '21:00:00'}"
20 Multi Colored C9 Style LED Outdoor Battery Operated Christmas String Lights,Home & Kitchen,"home,kitchen,fans",25a7ea9e-8f9b-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '30'}",Delhi,Delhi,India,All,iPhone,0.00110,0.0156,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
Pololu 313:1 Metal Gearmotor 20Dx46L mm 6V CB with Extended Motor Shaft (Item 3721),Tools & Hardware,"industrial,scientific,robotics",3692916a-8f9b-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '30'}",All,All,India,All,All,0.00084,0.0350,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '17:00:00'}"
"Acer Aspire E15 Laptop Upgrade Edition, 15.6"" Full HD 1080P Display, Intel Dual-Core i7 Processor 2.70 GHz up to 3.50 GHz, 16GB DDR4 RAM, 480GB SSD, 802.11ac, Bluetooth, HDMI, Webcam, Window 10",Computer,"c,o,m,p,u,t,e,r,s,,,c,o,m,p,u,t,e,r,s,,,t,a,b,l,e,t,s",441656e6-8f9b-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '30'}",All,All,India,All,All,0.00109,0.0580,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '14:00:00'}"
Baby Jogger Air Pump,Clothing & Accessories,"baby,stroller,accessories",b042da02-8f95-11f0-b7f6-0e087721c0e9,Update Campaign,All,"{'start': '0', 'end': '0'}",Chennai,Tamil Nadu,India,All,All,0.00132,0.0261,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '10:00:00'}"
"HiSupply SK-5 High Carbon Steel #11 Craft Blades | Fine Point Cutting Precision for Scrapbooking, Arts & Crafts | Fits All Hobby Knives | Pack of 100 Refill Replacement with Storage Case",Arts & Crafts,"arts,crafts,common",5f9a5ffc-8f9b-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",Mumbai,Maharashtra,India,All,All,0.00093,0.0225,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
ChalkTalkSPORTS Lacrosse Wood Words | Lacrosse Sign & Decor,Sports & Fitness,"team,sports,sports,lacrosse",7d5b804c-8f97-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,Android Mobile,0.00134,0.0443,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '9:00:00'}"
